subject,n_trials,baseline_detection_rate,baseline_mean_latency_sec,baseline_false_trigger_rate,gated_detection_rate,gated_mean_latency_sec,gated_false_trigger_rate
1,144,0.9652777777777778,0.2949640287769784,0.8333333333333334,0.7361111111111112,0.8415094339622642,0.06944444444444445
2,144,0.6180555555555556,1.3393258426966292,0.5833333333333334,0.2986111111111111,1.3069767441860465,0.05555555555555555
3,144,0.9861111111111112,0.15070422535211267,0.7777777777777778,0.9513888888888888,0.3284671532846715,0.13194444444444445
4,144,0.8263888888888888,0.7210084033613445,0.8055555555555556,0.6666666666666666,0.8770833333333332,0.08333333333333333
5,144,0.9097222222222222,0.35419847328244275,0.7847222222222222,0.7916666666666666,0.6333333333333332,0.4305555555555556
6,144,0.75,1.0481481481481483,0.7222222222222222,0.4652777777777778,1.3402985074626865,0.1388888888888889
7,144,0.9444444444444444,0.39264705882352946,0.8055555555555556,0.8680555555555556,0.5152,0.020833333333333332
8,144,0.9861111111111112,0.15352112676056337,0.7916666666666666,0.7430555555555556,0.5046728971962616,0.1527777777777778
9,144,0.9444444444444444,0.225,0.9861111111111112,0.6388888888888888,0.6934782608695652,0.0763888888888889
